P54,Frank Difonzo,fdifonzo@CTPD.com,Strawberry Smoothie
P55,Jim Acosta,realNews@CNN.com,Salmon
P56,Diana Sierejko,djSierejko@gmail.com,Pizza
P57,Sarah Conners,futureSoldier@future.net,Canned Peaches
P58,Goku,soAnime@shoninJump.com,Raman
P59,Krillin,baldy@shoninJump.com,Anime Fish
P60,Vegeta,mondoCool@shoninJump.com,Chicken Stew
P61,Gohan,bugKiller@shoninJump.com,Steak Tips
P62,Goten,kidGohan@shoninJump.com,Fried Rice
P63,Master Roshi,hermitMan@shoninJump.com,Salmon Roll
P64,Bulma,capsuleCorp@shoninJump.com,Octopus
P65,Yamcha,theWorstFighter@shoninJump.com,Garbage
P66,Tien,eyeball@shoninJump.com,Foliage
P67,Yajurobi,sexman@shoninjump.com,Drug Z
P68,Mike Katz,bigMan@pf.com,Oatmeal
P69,Wolf Blitzer,sitchRoom@CNN.com,Venison
P70,Don Lemon,donLemon@CNN.com,Chicken Salad
P71,Cosmo,cosmo@email.com,Dog Food/Cake
P72,Rob Mueller,specCounsel@FBI.gov,Shrimp
P73,Ben Pack,bPack@giantbomb.com,Boo Berries
P74,Drew Scanlon,dScanlon@giantbomb.com,Salmon
P75,Freeza,imAMan@shoninjump.com
P76,Joe Sierejko,jms@email.com,Chicken
P77,Alex Castro,adc@email.com,Tai
P78,Dan Jenotopoulos,dj@email.com,Tater Tots 
P79,George Saban,gs@neit.com,Rib Eye Steak
P80,Michael Brandon,mb@email.com,Cheeseburger
P81,Rui Santos,rs@email.com,Cheetos
P82,Greg Pratt,gp@email.com,Chicken Wrap
P83,DJ Johsnson,dj@neit.com,Tilapia Fish
P84,Dan Ryckart,dryckart@giantbomb.com,Buffalo Chicken
P85,Abby Russell,arussell@giantbomb.com,Pizza
P86,Jeff Gerstman,jGerstman@giantbomb.com,Fritos
P87,Vinny Caravella,vCaravella@giantbomb.com,Chicken Marsala
P88,Jaaniece Coates,jaanieceCoates@gmail.com,Mac and Cheese
P89,Adam Schiff,aSchiff@demsHouseMajority.gov,Venison
P90,Barack Obama,realPresidents@obama.gov,Steak
P91,Joe Biden,mr2020@bestVP.gov,Cruller
P92,John McCain,realPatriot@America.gov,Ballpark Frank
P93,Bernie Sanders,whereAmI@democrat.gov,Ham and Cheese
P94,April Ryan,freePress@politics.gov,Ice Cream
P95,Vinny Difonzo,vdifonzo@yahoo.com,Meatballs
P96,Frank Difonzo,fdifonzo@CTPD.com,Strawberry Smoothie
P97,Jim Acosta,realNews@CNN.com,Salmon
P98,Diana Sierejko,djSierejko@gmail.com,Pizza
P99,Sarah Conners,futureSoldier@future.net,Canned Peaches
P100,Chris Cuomo,primeTime@CNN.com,Quinoa
